Chris Lynn,41,41,1280,140.65,33.68,93,10,0,4,20000000
Eoin Morgan,52,45,854,121.13,21.35,66,4,0,1,15000000
Robin Uthappa,177,170,4411,130.5,28.83,87,24,0,7,15000000
Jason Roy,8,8,179,133.58,29.83,91,1,0,2,15000000
Aaron Finch,75,73,1737,130.69,26.31,88,13,0,3,10000000
Rahul Tripathi,34,33,758,137.31,26.13,93,4,0,12,2000000
David Miller,79,77,1850,138.78,34.25,101,9,1,8,7500000
Evin Lewis,16,16,430,131.09,26.87,65,2,0,5,10000000
Manoj Tiwary,98,85,1695,116.97,28.72,75,7,0,9,5000000
Colin Ingram,15,15,205,113.88,17.08,47,0,0,11,5000000
Martin Guptill,13,13,270,137.75,22.5,50,1,0,6,10000000
Colin Munro,13,12,177,125.53,14.75,40,0,0,10,10000000
