MS Dhoni,190,170,4432,137.85,42.2,84,23,0,98,38,1,150000000
Jos Buttler,45,45,1386,150.81,35.53,95,9,0,25,1,2,44000000
Sanju Samson,93,89,2209,130.24,27.61,102,10,2,43,4,7,80000000
Rishabh Pant,54,54,1736,162.69,36.16,128,11,1,33,11,6,150000000
Jonny Bairstow,10,10,445,157.24,55.62,114,2,1,9,2,5,15000000
Wriddhiman Saha,120,95,1765,131.13,23.85,115,6,1,60,19,9,10000000
KL Rahul,67,58,1977,138.15,42.06,100,16,1,29,5,3,100000000
Dinesh Karthik,182,163,3654,129.8,27.06,97,18,0,109,30,8,100000000
Parthiv Patel,139,137,2848,120.78,22.6,81,13,0,69,16,10,10000000
Quinton de Kock,50,50,1456,131.28,30.33,108,10,1,3,8,4,28000000
